Прайс-лист на 18 июня 2018 г.;;;;;;;;;
Курс 61;;;;;;;;;
Ценовая группа;;ВАШ ЗАКАЗ;Розница;1 Оптовая У.Е.;;;;;
Артикул;Номенклатура;;руб.;У.Е;;;;;
;;;Включает НДС;Включает НДС;;;;;
;;;Цена;Цена;;;;;
;;;;;;;;;
;Товары;;;;;;;;
;Набор для заправки BURSTEN Plug-n-Print ;;;;;;;;
2772905120364.0;Комплект чернил ОСР для EPS Dura RS STABLE (ВКP110, CP115,MP/YP102), 25 g x4;;1300.0;13.02;;;;;7EO
2772905120357.0;Комплект чернил ОСР для EPS Dura RS STABLE+RSL (ВКP110, CP115,MP/YP102,RSL), 25 g x5;;1370.0;13.79;;;;;7EO
2772905120340.0;Комплект чернил ОСР для EPS Dura+RSL (ВКP/CP115,MP/YP102,RSL), 25 g x5;;1380.0;13.96;;;;;7EO
2772905120425.0;Комплект чернил ОСР для EPS R1900/R2000 (EGO,BKP110/111,CP110,YP116,RP110,MP110,OP110), 25 g x8;;2660.0;27.37;;;;;7EO
2772905120449.0;Комплект чернил ОСР для EPS R200 (ВК73,С76,CL77,М72,ML73,Y61), 25 g x6;;1060.0;10.68;;;;;7EO
2772905120432.0;Комплект чернил ОСР для EPS R200+RSL (ВК73,С76,CL77,М72,ML73,Y61,RSL), 25 g x7;;1140.0;11.45;;;;;7EO
2772905120401.0;Комплект чернил ОСР для EPS R2100/R2200(ВКP114/115/201,СP115,YP102,MP117,MPL/CPL118), 25 g x8;;2560.0;26.19;;;;;7EO
2772905120395.0;Комплект чернил ОСР для EPS R2100/R2200+RSL(ВКP114/115/201,СP115,YP102,MP117,MPL/CPL118,RSL),25 g x9;;2640.0;26.98;;;;;7EO
2772905120463.0;Комплект чернил ОСР для EPS R2400 (BKP202/203/201/200,CP200,CPL201,YP200,MP200,MPL201), 25g x9;;3470.0;35.15;;;;;7EO
2772905120456.0;Комплект чернил ОСР для EPS R2400+RSL(ВКP200/201/202/203,СP/MP/YP200,MPL/CPL201,RSL), 25 g x10;;3560.0;35.93;;;;;7EO
2772905120487.0;Комплект чернил ОСР для EPS R800/R1800 (EGO,ВКP110/111,СP/MP/VP/RP110, YP116), 25 g x8;;2630.0;26.92;;;;;7EO
2772905120470.0;Комплект чернил ОСР для EPS R800/R1800+RSL(EGO,ВКP110/111,СP/MP/VP/RP110,YP116,RSL), 25 g x9;;2700.0;27.7;;;;;7EO
2772905120869.0;Комплект чернил ОСР для EPS XP600 (ВКP115, BK/C/M/Y140), повышенной светостойкости, 25 g х5;;1340.0;13.49;;;;;7EO
2772905120937.0;Комплект чернил ОСР для EPS XP600 (ВКP115, C142,BK/M/Y140), 25 g x5;;1150.0;11.57;;;;;7EO
2771109150085.0;Чернила ОСР 102 MP для картриджей EPS Dura, 25 g;;300.0;2.89;;;;;7EO
2771109150092.0;Чернила ОСР 102 YP для картриджей EPS Dura, 25 g;;380.0;3.67;;;;;7EO
2771109150139.0;Чернила ОСР 110 BKP для картриджей EPS T0541/T0871 (R800/1800/1900/2000), 25 g;;350.0;3.34;;;;;7EO
2771109150146.0;Чернила ОСР 110 CP для картриджей EPS T0542/T0872 (R800/1800/1900/2000),25 g;;350.0;3.34;;;;;7EO
2771109150153.0;Чернила ОСР 110 MP для картриджей EPS T0543/T0873 (R800/1800/1900/2000), 25 g;;350.0;3.34;;;;;7EO
2771109150160.0;Чернила ОСР 110 OP для картриджей EPS T0879 (R1900/2000), 25 g;;360.0;3.56;;;;;7EO
2771109150177.0;Чернила ОСР 110 RP для картриджей EPS T0547/T0877 (R800/1800/1900/2000), 25 g;;360.0;3.56;;;;;7EO
2771109150184.0;Чернила ОСР 110 VP для картриджей EPS T0549 (R800/1800), 25 g;;310.0;3.11;;;;;7EO
2771109150191.0;Чернила ОСР 111 BKP для картриджей EPS T0548/T0878 (R800/1800/1900/2000), 25 g;;360.0;3.56;;;;;7EO
2771109150283.0;Чернила ОСР 114 BKP для картриджей EPS T0341, 25 g;;340.0;3.34;;;;;7EO
2771109150108.0;Чернила ОСР 115 BKP для картриджей EPS Dura, 25 g;;350.0;3.5;;;;;7EO
2771109150290.0;Чернила ОСР 115 BKP для картриджей EPS T0348 (2100/2200/), 25 g;;360.0;3.5;;;;;7EO
2771109150115.0;Чернила ОСР 115 CP для картриджей EPS Dura, 25 g;;310.0;3.11;;;;;7EO
2771109150207.0;Чернила ОСР 116 YP для картриджей Eps, 25 g;;350.0;3.34;;;;;7EO
